timestamp,Altiva Hybrid Long-Short Fund,Magnum Hybrid Long Short Fund,iSIF Equity Ex-Top 100 Long-Short Fund,iSIF Hybrid Long-Short Fund,iSIF Active Asset Allocator Long-Short Fund,Qsif Equity Long-Short Fund,RedHex Hybrid Long-Short Fund,Titanium Hybrid Long-Short Fund,Altiva Equity Ex-Top 100 Long-Short Fund,Diviniti Equity Long Short Fund,DynaSIF Equity Long-Short Fund,iSIF Equity Long-Short Fund,Qsif Equity Ex-Top 100 Long-Short Fund,Titanium Equity Long-Short Fund,DynaSIF Active Asset Allocator Long-Short Fund,Qsif Hybrid Long-Short Fund,Arthaya Equity Long Short Fund,Arudha Hybrid Long-Short Fund,Arudha Equity Long-Short Fund,Apex Hybrid Long-Short Fund,Qsif Active Asset Allocator Long-Short Fund,WSIF Equity Long-Short Fund,WSIF Equity Ex-Top 100 Long-Short Fund,Sapphire Equity Long-Short SIF,Qsif Sector Rotation Long-Short Fund,Platinum Hybrid Long-Short Fund,DynaSIF Equity Ex-Top 100 Long-Short Fund,Infinity Hybrid Long-Short Fund
2025-12-08 00:00:00+00:00,10.1214,10.1207,,,,10.0834,,,,1000.6632,,,9.8561,,,9.9674,,,,,,,,,,,,
2025-12-09 00:00:00+00:00,10.1249,10.1164,,,,10.0361,,,,999.7664,,,9.8804,,,9.9902,,,,,,,,,,,,
2025-12-10 00:00:00+00:00,10.1793,10.123,,,,10.0134,,,,999.1685,,,9.8779,,,9.9723,,,,,,,,,,,,
2025-12-11 00:00:00+00:00,10.1823,10.1442,,,,10.0834,,,,1000.5175,,,9.887,,,9.9877,,,,,,,,,,,,
2025-12-12 00:00:00+00:00,10.2031,10.1753,,,,10.1168,,,,1002.4842,,,9.9476,,,10.0076,,,,,,,,,,,,
2025-12-15 00:00:00+00:00,10.2249,10.1685,,,,10.1041,,,,1002.4957,,,9.9261,,,10.012,,,,,,,,,,,,
2025-12-16 00:00:00+00:00,10.2211,10.1308,,,,10.0404,,,,1000.6526,,,9.8709,,,9.9719,,,,,,,,,,,,
2025-12-17 00:00:00+00:00,10.2383,10.1245,,,,10.0067,,10.0029,,1000.1837,,,9.8238,,,9.9432,,,,,,,,,,,,
2025-12-18 00:00:00+00:00,10.2503,10.1365,,,,10.0226,,10.0013,,1000.3331,,,9.8097,,,9.9504,,,,,,,,,,,,
2025-12-19 00:00:00+00:00,10.2664,10.1825,,,,10.0802,,10.0212,,1002.0941,,,9.8723,,,10.0157,,,,,,,,,,,,
2025-12-22 00:00:00+00:00,10.2709,10.2103,,,,10.1217,,10.0332,,1004.3506,,,9.8764,,,10.0206,,,,,,,,,,,,
2025-12-23 00:00:00+00:00,10.2724,10.215,,,,10.1181,,10.0403,,1003.8238,,,9.901,,,10.0351,,,,,,,,,,,,
2025-12-24 00:00:00+00:00,10.2785,10.2186,,,,10.0964,,10.034,,1003.5902,,,9.8618,,,10.0321,,,,,,,,,,,,
2025-12-26 00:00:00+00:00,10.2793,10.2142,,,,10.066,,10.032,,1002.2094,,,9.8478,,,10.0339,,,,,,,,,,,,
2025-12-29 00:00:00+00:00,10.2776,10.2007,,,,10.0197,,10.0279,,1000.9747,,,9.795,,,10.0093,,,,,,,,,,,,
2025-12-30 00:00:00+00:00,10.2941,10.1923,,,,10.016,,10.0297,,1000.9537,,,9.7951,,,9.9989,,,,,,,,,,,,
2025-12-31 00:00:00+00:00,10.2931,10.2223,,,,10.0599,,10.0668,,1003.5044,,,9.8634,,,10.0186,,,,,,,,,,,,
2026-01-01 00:00:00+00:00,10.3035,10.2379,,,,10.1084,,10.0643,,1004.7905,,,9.8976,,,10.0159,,,,,,,,,,,,
2026-01-02 00:00:00+00:00,10.3116,10.268,,,,10.1665,,10.0987,,1007.3952,,,9.9717,,,10.0604,,,,,,,,,,,,
2026-01-05 00:00:00+00:00,10.3164,10.2571,,,,10.135,,10.1036,,1007.5914,,,9.9449,,,10.0348,,,,,,,,,,,,
2026-01-06 00:00:00+00:00,10.3175,10.2358,,,,10.1689,,10.1112,,1007.3292,,,9.9139,,,10.0157,,,,,,,,,,,,
2026-01-07 00:00:00+00:00,10.3226,10.242,,,,10.1812,,10.1093,,1007.3804,,,9.9772,,,10.0418,,,,,,,,,,,,
2026-01-08 00:00:00+00:00,10.3138,10.2042,,,,10.0993,,10.0446,,1003.6882,,,9.807,,,10.0279,,,,,,,,,,,,
2026-01-09 00:00:00+00:00,10.2993,10.1899,,,,9.9816,,10.0086,,1001.885,,,9.6437,,,9.9684,,,,,,,,,,,,
2026-01-12 00:00:00+00:00,10.3084,10.2002,,,,9.9924,,10.0263,,1003.3332,,,9.6524,,,9.9777,,,,,,,,,,,,
2026-01-13 00:00:00+00:00,10.3041,10.2069,,,,9.9876,,10.0291,,1003.9296,,,9.6624,,,9.9858,,,,,,,,,,,,
2026-01-14 00:00:00+00:00,10.3166,10.197,,,,9.9255,,10.0457,,1003.1586,,,9.6072,,,9.9415,,,,,,,,,,,,
2026-01-16 00:00:00+00:00,10.3096,10.2052,,,,9.8965,,10.0495,,1002.6582,,,9.5835,,,9.9293,,,,,,,,,,,,
2026-01-19 00:00:00+00:00,10.322,10.2109,,,,9.843,,10.0145,,1001.0849,,,9.4982,,,9.8886,,,,,,,,,,,,
2026-01-20 00:00:00+00:00,10.2861,10.1448,,,,9.7209,,9.9395,,996.0857,,,9.3169,,,9.8488,,,,,,,,,,,,
2026-01-21 00:00:00+00:00,10.2699,10.1438,,,,9.6609,,9.9126,,995.4498,,,9.2621,,,9.7998,,,,,,,,,,,,
2026-01-22 00:00:00+00:00,10.2893,10.1625,,,,9.7196,,9.9296,,994.4711,,,9.3047,,,9.8525,,,,,,,,,,,,
