asof,n,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,calmar,sortino,hold_vol
2021-02-01,19,-0.12254901960784316,0.33333333333333337,-0.09803921568627452,-0.25000000000000006,-0.22456140350877193,-0.02456140350877193,-0.09473684210526316,0.012280701754385965,0.443859649122807,0.26593406593406593,-0.007017543859649123,0.2588235294117647
2021-05-01,21,0.07368421052631578,0.28421052631578947,0.15614035087719297,-0.2719298245614035,-0.19298245614035087,-0.03896103896103896,-0.15263157894736842,-0.17662337662337665,0.1909090909090909,0.1323529411764706,0.19649122807017544,-0.18872549019607845
2021-08-01,21,0.10175438596491228,0.21929824561403505,0.19473684210526312,-0.22982456140350876,0.07192982456140351,-0.10519480519480517,-0.1649122807017544,-0.27662337662337666,0.04155844155844156,-0.015789473684210527,0.2824561403508772,-0.18771929824561404
2021-11-01,21,0.0824561403508772,0.19473684210526312,-0.0035087719298245615,-0.16140350877192983,-0.023376623376623374,-0.2,-0.32987012987012987,-0.3337662337662338,0.15194805194805194,-0.14385964912280702,0.11818181818181818,-0.0543859649122807
2022-02-01,22,-0.03508771929824562,-0.031578947368421054,-0.08596491228070174,-0.02280701754385965,-0.26233766233766237,-0.1575381140598532,-0.38571428571428573,-0.3190287972896669,0.02428006775832863,-0.2824561403508772,0.06753246753246753,-0.2070175438596491
2022-05-01,22,0.11038961038961038,0.1,-0.11688311688311687,0.14545454545454545,-0.37792207792207794,-0.20948616600790515,-0.40129870129870127,-0.4251835121400339,-0.04573687182382835,-0.23333333333333334,0.062337662337662345,-0.30877192982456136
2022-08-01,22,0.18051948051948052,0.08831168831168833,-0.08831168831168833,0.20649350649350648,-0.29644268774703564,-0.13156408808582723,-0.3540372670807454,-0.3235460191981932,-0.03557312252964427,0.0025974025974025974,-0.03557312252964427,-0.17272727272727273
2022-11-01,23,0.22337662337662337,0.2025974025974026,0.02727272727272727,0.1974025974025974,-0.18351214003387917,0.025691699604743084,-0.2309429700734049,-0.13537549407114624,-0.023715415019762844,0.2,0.025409373235460195,-0.274025974025974
2023-02-01,23,0.12140033879164315,0.21174477696216829,0.025409373235460195,0.19706380575945792,-0.1442687747035573,0.16996047430830039,-0.023715415019762844,-0.1324110671936759,0.14525691699604742,0.18441558441558442,0.22035573122529645,-0.22857142857142856
2023-05-01,23,0.20045172219085267,0.28176171654432525,0.09316770186335405,-0.011857707509881424,0.04644268774703557,0.325098814229249,0.0800395256916996,0.3735177865612649,0.40513833992094866,0.4194805194805195,0.3942687747035573,-0.1643139469226426
2023-08-01,23,0.06719367588932806,0.3800112930547713,-0.003952569169960475,-0.04686617730095992,-0.14525691699604742,0.17588932806324112,0.2865612648221344,0.16403162055335968,0.5434782608695652,0.4511575381140599,0.37154150197628455,0.19141727837380013
2023-11-01,23,-0.29051383399209485,0.19071146245059292,-0.38636363636363635,0.03260869565217391,-0.3132411067193676,0.022727272727272724,0.07411067193675888,-0.021739130434782608,0.3389328063241107,0.30999435347261434,0.1373517786561265,0.4683794466403162
2024-02-01,24,-0.21936758893280633,0.09980237154150197,-0.37154150197628455,-0.05039525691699605,-0.2845849802371542,-0.054782608695652164,0.042490118577075096,-0.05652173913043478,0.15391304347826085,0.00691699604743083,0.13043478260869565,0.4782608695652174
2024-05-01,24,-0.25691699604743085,-0.13537549407114624,-0.4337944664031621,0.18774703557312253,-0.2875494071146245,-0.07826086956521738,-0.12351778656126483,-0.13043478260869562,-0.03217391304347826,0.025691699604743084,-0.05731225296442688,0.2114624505928854
2024-08-01,24,-0.2124505928853755,-0.15019762845849804,-0.1798418972332016,0.07312252964426878,-0.1643478260869565,-0.0626086956521739,-0.22608695652173913,0.1034782608695652,-0.025217391304347827,-0.03162055335968379,-0.1226086956521739,0.1432806324110672
