mfId,name,rank,score,evidence_qualified,data_days,cagr_3y,cagr_5y,sip_p50,sip_p25,sip_latest,sip_hit_rate,sip_consistency,n_sip_windows,risk_on_alpha,metal_capture,mixed_alpha,stress_alpha,eq_up_capture,eq_down_capture,sortino_3y,calmar_3y,max_drawdown_3y,current_drawdown,ulcer_index,cvar_5pct,recovery_weeks,eq_weight,gold_weight,silver_weight,defensive_weight,timing_alignment,regime_fit,allocation_balance,exposure_stability,durability_score,confidence,aum,data_weeks,history_years
M_CAUS,Canara Rob Multi Asset Allocation Fund,24,17.56,False,466,,,,,,,,0,25.78,0.0995,13.03,-4.72,0.3297,-0.0112,0.5271,,-9.55,-2.13,2.4004,-2.75,3.3333,0.3657,0.0752,0.1254,0.4337,0.4135,0.4902,0.8757,0.8655,0.641,0.3381,1411.53,67,1.2758
M_SUDUO,Sundaram Multi Asset Allocation Fund,25,16.66,False,961,13.02,,11.66,10.53,11.66,0.0,4.5619,9,1.11,0.2247,10.82,1.34,0.3233,0.0057,0.6164,1.09,-11.95,-3.04,3.1269,-3.13,4.65,0.3585,0.0,0.1266,0.5149,0.3747,0.415,0.7871,0.9197,0.9443,0.5518,3302.54,138,2.6311
M_LIEG,LIC MF Multi Asset Allocation Fund,26,16.11,False,571,,,,,,,,0,10.7,0.1742,14.29,-16.48,0.3399,-0.0639,0.7454,,-12.28,-1.63,2.821,-3.47,4.9167,0.4197,0.0234,0.1542,0.4027,0.4136,0.4383,0.8498,0.8546,0.6841,0.378,1004.98,82,1.5633
M_HSAO,HSBC Multi Asset Allocation Fund,27,15.46,False,927,,,14.34,13.83,15.65,0.0,7.1961,8,5.77,0.2808,24.09,-28.93,0.2798,-0.1043,0.5745,,-18.32,-1.57,5.7689,-4.88,4.9,0.2178,0.0,0.1295,0.6527,0.3116,0.15,0.6796,0.9085,0.8803,0.5253,3259.66,133,2.538
M_UNUN,Union Multi Asset Allocation Fund,28,15.45,False,732,,,14.62,14.62,14.62,0.0,,1,7.27,0.2279,8.62,-1.36,0.2607,-0.0383,0.4376,,-10.9,-2.13,2.9393,-3.24,4.8125,0.2898,0.0042,0.1265,0.5796,0.3291,0.1542,0.7522,0.9184,0.8002,0.4465,1020.13,105,2.0041
M_BAJAO,Bajaj Finserv Multi Asset Allocation Fund,29,15.31,False,831,,,11.03,10.42,12.06,0.0,15.2341,4,7.49,0.2061,2.18,-0.16,0.2385,-0.0411,0.3748,,-11.11,-3.32,3.8612,-3.33,6.2143,0.2996,0.0,0.147,0.5535,0.3703,0.4496,0.7764,0.9144,0.8409,0.484,1984.98,120,2.2752
M_FRANS,Franklin India Multi Asset Allocation Fund,30,13.58,False,408,,,,,,,,0,32.05,0.1288,7.25,-15.12,0.3208,0.0091,0.3657,,-10.74,-2.9,2.9869,-3.45,3.25,0.3911,0.019,0.1616,0.4283,0.46,0.4339,0.8495,0.8215,0.6171,0.3316,2912.44,59,1.117
M_QUUC,Quantum Multi Asset Allocation Fund,31,12.83,False,919,,,6.91,6.6,6.68,0.0,3.9229,7,-10.47,0.1594,2.93,15.52,0.2192,0.0195,0.2258,,-9.15,-4.54,2.4296,-2.28,4.9444,0.2432,0.0,0.0889,0.6679,0.2958,0.3932,0.6491,0.9393,0.8416,0.505,59.27,132,2.5161
M_PGTS,PGIM India Multi Asset Allocation Fund,32,12.02,False,283,,,,,,,,0,18.39,0.1385,10.87,2.98,0.3272,0.0249,0.2061,,-10.02,-2.66,3.0599,-3.97,6.75,0.2215,0.0,0.163,0.6155,0.3889,0.15,0.7273,0.9118,0.5616,0.3224,306.51,41,0.7748
M_GRMO,Groww Multi Asset Allocation Fund,33,11.69,False,344,,,,,,,,0,19.56,0.0516,6.31,-5.88,0.234,0.0929,-0.2453,,-10.09,-2.46,3.1685,-3.28,4.875,0.2998,0.0,0.1478,0.5524,0.487,0.415,0.7775,0.8837,0.5909,0.3276,389.91,50,0.9418
M_CAPS,Capitalmind Multi Asset Allocation Fund,34,9.92,False,173,,,,,,,,0,-31.59,,5.03,,0.0649,0.0346,-0.899,,-4.9,-3.53,2.4313,-1.79,9.0,0.0394,0.0196,0.0836,0.8573,,0.1696,0.3414,,0.4694,0.3008,39.33,26,0.4736
M_ZERE,Zerodha Life Cycle Fund 2036,35,0.0,False,61,,,,,,,,0,,,,,,,,,-2.59,-2.59,0.9999,,3.5,,,,,,,,,0.282,0.2723,19.57,10,0.167
M_ZERL,Zerodha Life Cycle Fund 2041,36,0.0,False,61,,,,,,,,0,,,,,,,,,-3.0,-3.0,1.1677,,3.5,,,,,,,,,0.282,0.2723,14.59,10,0.167
M_JMTS,JM Multi Asset Allocation Fund,37,0.0,False,54,,,,,,,,0,,,,,,,,,-2.1,-2.08,1.0282,,3.0,,,,,,,,,0.2927,0.2792,145.73,9,0.1478
M_ALPR,AlphaGrep Multi Asset Allocation Fund,38,0.0,False,47,,,,,,,,0,,,,,,,,,-1.14,-1.14,0.6035,,3.0,,,,,,,,,0.2877,0.276,75.51,8,0.1287
M_ITUP,ITI Multi Asset Allocation Fund,39,0.0,False,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0.27,0.2645,,1,0.0055
