mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,style_purity,style_drift,swing_elasticity,upside_capture,capture_spread
M_MAHT,Mahindra Manulife Large & Mid Cap Fund,34,46.2,2422,14.61,14.81,56.0,20.25,8.43,16.55,-12.04,-0.4779,2.58,0.9153,-0.1297,0.0708,0.6057,0.502,0.6087,0.9972,0.546,0.1359,-0.0065,0.6884,-0.227
M_FRRN,Franklin India Mid Cap Fund,35,45.08,4977,18.39,15.89,140.0,20.19,5.21,19.39,-13.26,0.1273,0.38,0.9437,0.0237,0.0762,0.6203,0.5296,0.7955,0.9871,0.4507,0.1235,-0.0054,0.6895,-0.2542
M_HEIP,Helios Mid Cap Fund,36,44.16,518,,,0.0,,,,,,10.94,,0.3857,0.0432,,,0.0,0.9982,0.5438,0.1085,-0.0017,,
M_HEIR,Helios Large & Mid Cap Fund,37,43.85,651,,,0.0,,,,,0.2321,5.18,0.8422,-0.1162,0.0635,0.156,,0.0,0.9987,0.5802,0.0495,-0.0044,0.8784,0.0362
M_JMND,JM Large & Mid Cap Fund,38,42.55,385,,,0.0,,,,,,4.29,,-0.2371,0.0444,,,0.0,0.9996,0.3491,,-0.0017,,
M_INCW,Invesco India Large & Mid Cap Fund,39,41.8,4977,24.44,18.7,140.0,18.97,8.66,18.48,-12.68,0.0241,3.76,0.879,0.0543,0.0641,0.6259,0.7756,0.7955,0.9883,0.3682,0.227,-0.0088,0.4618,-0.4172
M_ADTMI,Aditya Birla SL Midcap Fund,40,41.58,4977,17.92,16.14,140.0,19.01,6.48,18.5,-14.65,-0.1246,0.26,0.989,-0.0334,0.1114,0.5027,0.4081,0.7955,0.9933,0.5202,0.0946,-0.0039,0.834,-0.155
M_BANOU,Bank of India Mid Cap Fund,41,40.73,357,,,0.0,,,,,,-3.65,,0.0488,0.0409,,,0.0,0.9993,,,-0.0049,,
M_ITAM,ITI Large & Mid Cap Fund,42,40.63,707,,,0.0,,,,,-0.3679,0.97,0.9252,0.0736,0.0796,-0.122,,0.0,0.9993,0.3295,0.1546,0.0013,0.8174,-0.1078
M_PGDO,PGIM India Midcap Fund,43,39.46,4641,13.64,12.75,128.0,18.06,5.75,17.77,-14.94,-0.2458,4.4,0.9514,-0.0044,0.0871,0.5742,0.4238,0.7805,0.9889,0.6963,0.1825,-0.0048,0.6055,-0.3458
M_SACI,Samco Large & Mid Cap Fund,44,39.39,413,,,0.0,,,,,,-12.47,,-0.7593,0.0808,,,0.0,0.9999,0.7312,,-0.0137,,
M_SBRU,SBI Large & Midcap Fund,45,38.39,4977,15.1,15.32,140.0,18.12,9.18,17.52,-12.3,-0.1454,2.88,0.9057,-0.0151,0.065,0.5627,0.4305,0.7955,0.9577,0.3858,0.1173,-0.0083,0.4478,-0.4578
M_UNOO,Union Large & Midcap Fund,46,37.92,2450,15.01,13.75,56.0,17.87,9.57,14.72,-12.02,-0.5719,1.56,0.9339,-0.0514,0.072,0.4893,0.468,0.6087,0.999,0.4577,0.1739,-0.0077,0.6671,-0.2669
M_KOEO,Kotak Large & Midcap Fund,47,36.95,4977,15.84,15.21,140.0,18.55,8.65,18.08,-12.21,-0.1448,3.33,0.892,0.0386,0.0622,0.5741,0.4799,0.7955,0.9679,0.23,0.1336,-0.0085,0.4172,-0.4748
M_EDAA,Edelweiss Large & Mid Cap Fund,48,36.86,4977,16.58,14.95,140.0,17.63,7.12,17.18,-12.56,-0.2173,3.08,0.8957,-0.0299,0.0635,0.5875,0.5371,0.7955,0.9952,0.4518,0.0879,-0.008,0.3994,-0.4963
M_IDFOC,Bandhan Large & Mid Cap Fund,49,36.06,4977,19.89,18.19,140.0,18.11,7.55,18.06,-12.9,-0.2433,2.85,0.9112,-0.0485,0.0719,0.5096,0.5471,0.7955,0.9812,0.4657,0.1008,-0.0072,0.4123,-0.4989
M_DSIY,DSP Large & Mid Cap Fund,50,35.03,4977,15.67,13.64,140.0,18.27,7.29,17.75,-12.97,-0.205,2.22,0.9164,0.0064,0.0681,0.5584,0.4584,0.7955,0.9818,0.3059,0.0906,-0.0069,0.4497,-0.4666
M_TACV,Taurus Mid Cap Fund,51,34.78,4977,11.13,13.55,140.0,18.58,6.22,17.67,-14.56,-0.1919,-0.85,0.98,0.0129,0.0889,0.5252,0.3897,0.7955,0.9999,0.3464,0.1472,-0.0023,0.7157,-0.2643
M_QUTD,Quant Mid Cap Fund,52,33.63,4970,14.14,17.59,139.0,19.41,4.27,19.13,-12.25,-0.119,4.95,0.8358,0.0312,0.0757,0.6417,0.4929,0.7943,0.9919,0.5036,0.231,-0.0121,0.3231,-0.5127
M_SUNLA,Sundaram Large and Mid Cap Fund,53,32.97,4970,17.32,14.13,139.0,17.19,8.49,16.54,-12.91,-0.2933,1.43,0.9259,-0.0232,0.0753,0.5208,0.492,0.7943,0.993,0.4696,0.1297,-0.0073,0.4529,-0.473
