mfId,name,rank,score,evidence_qualified,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_hit_bench,hybrid_hit_peer,hybrid_window_n,up_recovery_capture,bull_recovery_excess,momentum_3m_rel,momentum_6m_rel,overheat_penalty,max_drawdown_2y,ulcer_2y,down_capture,bear_excess,recovery_weeks,tail_loss_1y,volatility_1y,current_drawdown,factor_alpha,factor_ir,alpha_stability,market_beta,small_mid_tilt,hybrid_score,recovery_score,resilience_score,active_skill_score,confidence_score,history_confidence,capacity_multiplier,xirr_coverage,aum,data_weeks,history_years,latest_nav_date,market_regime
M_INTT,Invesco India Contra Fund,24,56.15,True,1826,Contra Fund,-1.5,14.55,13.28,21.83,11.79,4.01,88.89,77.78,36.0,1.09,6.36,1.58,3.38,0.0,-18.64,7.66,0.95,1.16,44.0,-3.16,14.24,-4.76,3.88,1.05,0.71,0.46,0.28,71.43,59.81,38.76,63.79,91.61,0.9,1.0,1.0,20643.56,262,5.0,2026-09-21,sideways
M_HSBD,HSBC Focused Fund,25,55.94,True,1826,Focused Fund,8.21,15.33,12.76,14.86,9.83,10.03,100.0,36.11,36.0,1.07,5.3,6.14,10.0,0.0,-20.7,7.03,0.96,-7.14,43.0,-2.65,14.08,-2.44,3.32,0.64,0.62,0.11,0.58,61.26,72.72,46.19,59.68,91.61,0.9,1.0,1.0,1843.06,262,5.0,2026-09-21,sideways
M_CAFF,Canara Rob Focused Fund,26,55.82,True,1826,Focused Fund,-2.56,13.38,11.99,19.4,11.5,4.63,97.22,44.44,36.0,1.0,0.32,2.68,1.37,0.0,-16.49,6.52,0.86,3.73,17.0,-2.79,13.13,-4.3,3.94,0.9,1.35,1.02,-0.11,65.57,42.86,61.4,62.07,91.61,0.9,1.0,1.0,2871.75,262,5.0,2026-09-21,sideways
M_SBFQ,SBI Focused Fund,27,55.81,True,1826,Focused Fund,10.12,15.66,11.59,15.37,13.33,13.57,55.56,41.67,36.0,0.84,-11.59,4.43,7.22,0.0,-12.86,4.1,0.67,11.51,13.0,-2.05,11.85,-3.31,5.88,1.07,3.79,0.77,-0.01,60.76,31.72,76.83,80.22,90.35,0.9,0.95,1.0,50040.77,262,5.0,2026-09-21,sideways
M_IDYS,Bandhan Focused Fund,28,55.12,True,1826,Focused Fund,5.36,16.5,12.95,20.07,9.49,4.25,94.44,61.11,36.0,0.97,-2.05,5.61,7.41,1.13,-17.81,6.6,0.92,1.66,33.0,-2.78,12.88,-0.37,5.78,1.02,0.79,0.24,0.37,63.5,38.02,53.28,76.45,91.61,0.9,1.0,1.0,2093.7,262,5.0,2026-09-21,sideways
M_ADYUM,Aditya Birla SL Multi-Cap Fund,29,54.75,True,1826,Multi Cap Fund,8.18,15.09,13.2,16.65,9.82,9.85,100.0,25.0,36.0,1.02,1.53,5.82,11.24,0.0,-19.95,7.34,0.91,1.66,68.0,-3.09,13.56,-1.93,2.97,0.82,1.16,1.1,0.15,63.79,61.93,48.41,55.63,91.61,0.9,1.0,1.0,7531.29,262,5.0,2026-09-21,sideways
M_MAHD,Mahindra Manulife Focused Fund,30,54.52,True,1826,Focused Fund,-0.95,13.21,13.52,21.12,8.99,3.37,100.0,77.78,36.0,1.03,2.33,-2.32,-4.26,0.0,-16.47,6.98,0.85,7.38,83.0,-2.5,10.79,-5.93,4.03,0.94,1.15,0.81,-0.08,67.05,36.38,57.19,62.87,91.61,0.9,1.0,1.0,2108.86,262,5.0,2026-09-21,sideways
M_KOTY,Kotak Focused Fund,31,54.33,True,1826,Focused Fund,4.96,14.99,12.3,15.71,10.81,10.63,75.0,41.67,36.0,1.0,0.03,1.09,2.78,0.0,-17.94,7.12,0.89,1.88,29.0,-2.75,13.64,-3.98,4.93,1.36,2.07,0.99,-0.02,58.45,40.28,55.22,76.47,91.61,0.9,1.0,1.0,4457.06,262,5.0,2026-09-21,sideways
M_PRPW,Sundaram Multi Cap Fund,32,53.35,True,1826,Multi Cap Fund,1.84,13.44,12.5,17.35,9.93,6.51,100.0,27.78,36.0,1.02,1.24,3.87,6.18,0.0,-18.54,7.2,0.91,-0.67,33.0,-3.13,13.62,-2.71,2.5,0.71,1.74,0.6,0.24,63.98,52.66,45.47,59.51,91.61,0.9,1.0,1.0,3069.63,262,5.0,2026-09-21,sideways
M_LITI,LIC MF Multi Cap Fund,33,53.07,True,1421,Multi Cap Fund,8.72,18.74,,15.93,8.76,10.67,100.0,100.0,23.0,1.09,5.91,3.73,12.23,0.0,-19.32,6.5,0.87,-6.45,29.0,-2.93,13.97,-2.35,4.97,1.11,1.25,0.17,0.69,65.66,73.22,54.86,82.84,80.18,0.78,1.0,0.96,2130.39,204,3.89,2026-09-21,sideways
