mfId,name,rank,score,subsector,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,batting,capture_spread,omega
M_SBFQ,SBI Focused Fund,32,65.66,Focused Fund,4977,17.12,13.33,140.0,17.91,10.99,17.52,-11.67,0.3607,5.28,0.8571,-0.007,0.0751,0.5394,0.5977,0.8537,0.95,0.7051,-0.1688,2.1622
M_ICCSF,ICICI Pru Focused Equity Fund,33,65.16,Focused Fund,4970,19.2,17.22,139.0,17.12,7.25,16.63,-11.71,0.4285,5.86,0.8962,-0.0051,0.0664,0.6632,0.6351,0.8528,0.9822,0.7548,-0.093,2.2339
M_BAFN,Bajaj Finserv Flexi Cap Fund,34,65.12,Flexi Cap Fund,1099,18.25,,12.0,10.32,7.47,7.99,-12.1,1.2995,6.32,0.768,0.1193,0.0512,0.6694,1.0562,0.3333,0.9918,0.7143,0.3575,2.6042
M_HDCUI,HDFC Multi Cap Fund,35,64.3,Multi Cap Fund,1715,13.61,15.99,32.0,21.5,7.98,19.5,-11.49,1.3077,3.9,0.9429,0.0744,0.065,0.6401,0.6762,0.5714,0.9798,0.7083,0.3361,2.1424
M_INVC,Invesco India Focused Fund,36,64.06,Focused Fund,2149,23.45,16.88,47.0,20.5,5.41,19.53,-12.6,0.6342,3.0,0.8314,0.0055,0.0804,0.9557,1.0666,0.662,0.9943,0.5873,0.2704,2.6994
M_UNMI,Union Multicap Fund,37,63.76,Multi Cap Fund,1337,16.84,,20.0,12.28,8.19,7.42,-14.58,1.2762,2.7,0.8911,0.1404,0.0539,0.7899,0.8687,0.4545,0.9986,0.7778,0.3913,2.5846
M_EDFC,Edelweiss Focused Fund,38,62.57,Focused Fund,1477,15.25,15.79,24.0,16.25,6.75,11.9,-12.08,0.7817,2.94,0.8517,-0.0519,0.0493,0.5777,0.9127,0.5,0.999,0.8,0.2018,2.3911
M_EDWU,Edelweiss Flexi Cap Fund,39,62.4,Flexi Cap Fund,4214,16.77,14.64,114.0,17.53,7.62,17.8,-12.75,0.6758,2.92,0.9643,-0.0151,0.0709,0.4339,0.5298,0.8261,0.9964,0.9231,0.2233,2.0065
M_ICPIU,ICICI Pru Multicap Fund,40,61.74,Multi Cap Fund,4977,18.36,16.79,140.0,17.84,8.2,17.3,-12.19,0.7477,2.16,0.9311,-0.0681,0.0676,0.6151,0.5092,0.8537,0.9812,0.7628,0.116,2.29
M_360E,360 ONE Flexicap Fund,41,61.38,Flexi Cap Fund,1148,19.07,,14.0,8.72,3.64,3.19,-12.86,1.1761,4.49,0.8428,0.0639,0.0587,0.7408,1.1511,0.3684,0.9978,0.7333,0.3556,2.5948
M_IIFS,360 ONE Focused Fund,42,61.21,Focused Fund,4312,13.2,12.71,118.0,17.85,8.93,18.0,-13.6,0.6665,4.54,0.9429,0.0237,0.0751,0.4943,0.3947,0.831,0.9933,0.7687,0.2428,2.132
M_HSBD,HSBC Focused Fund,43,60.57,Focused Fund,2219,16.7,14.09,49.0,16.04,9.11,14.86,-12.45,0.5081,1.12,1.0114,0.0219,0.06,0.7684,0.7986,0.6712,0.9982,0.8154,0.1943,2.4619
M_MAHX,Mahindra Manulife Flexi Cap Fund,44,60.24,Flexi Cap Fund,1820,12.14,12.05,36.0,17.75,10.34,17.14,-10.0,0.5707,2.03,0.9209,0.0266,0.057,0.4049,0.7124,0.6,0.9984,0.7885,0.0873,1.9261
M_HELF,Helios Flexi Cap Fund,45,60.12,Flexi Cap Fund,1008,18.28,,9.0,8.42,7.06,9.81,-12.95,1.2268,5.58,0.8018,0.1606,0.0547,0.6642,1.021,0.2727,0.9919,0.68,0.3878,2.3428
M_JMUU,JM Flexicap Fund,46,58.24,Flexi Cap Fund,4977,16.84,17.23,140.0,19.55,5.9,18.88,-13.26,0.6859,4.11,0.9881,-0.0613,0.0826,0.5949,0.5327,0.8537,0.9948,0.7564,0.5961,2.1035
M_MIFE,Mirae Asset Flexi Cap Fund,47,58.21,Flexi Cap Fund,1274,13.95,,18.0,11.01,7.35,7.18,-13.2,0.5955,2.07,0.8485,0.0136,0.0458,0.6756,0.8753,0.4286,0.9956,0.7647,0.1334,2.5766
M_CAML,Canara Rob Multi Cap Fund,48,57.73,Multi Cap Fund,1120,16.45,,13.0,8.83,5.45,5.32,-13.52,0.9981,3.17,0.8345,0.1279,0.0537,0.6352,0.8979,0.3514,0.9942,0.7241,0.2591,2.4831
M_EDEWA,Edelweiss Multi Cap Fund,49,57.56,Multi Cap Fund,1029,20.31,,10.0,6.68,4.78,6.98,-12.23,1.1981,5.38,0.9298,0.0662,0.0628,0.6607,1.0143,0.2941,0.9967,0.6923,0.3336,2.4085
M_MOSN,Motilal Oswal Multi Cap Fund,50,57.23,Multi Cap Fund,791,,,2.0,8.86,8.23,4.31,-21.72,1.1888,16.72,0.5971,0.1635,0.0841,0.5757,,0.0769,0.9955,,0.8644,1.8963
M_KOSN,Kotak Flexicap Fund,51,57.0,Flexi Cap Fund,4977,13.84,12.22,140.0,17.33,9.22,16.66,-12.28,0.7603,1.19,0.9579,0.0036,0.0625,0.5539,0.4086,0.8537,0.9469,0.7628,0.1627,2.1685
M_HDCAC,HDFC Value Fund,52,56.78,Value Fund,4977,18.05,15.5,140.0,17.26,7.53,16.68,-13.07,0.8612,1.83,0.9672,-0.0079,0.074,0.5513,0.4679,0.8537,0.9921,0.7885,0.2694,2.1741
M_OLDD,Old Bridge Focused Fund,53,56.25,Focused Fund,938,14.71,,7.0,7.23,6.74,11.38,-9.96,1.0334,6.25,0.8597,0.0771,0.0679,0.5445,0.7926,0.2258,0.996,0.6522,0.4194,1.9932
M_ADTUE,Aditya Birla SL Flexi Cap Fund,54,55.09,Flexi Cap Fund,4977,17.2,13.43,140.0,17.64,7.78,16.8,-13.04,0.8406,1.98,0.9622,0.0186,0.0692,0.5521,0.4855,0.8537,0.9719,0.7308,0.2851,2.1752
M_QUTT,Quant Focused Fund,55,54.61,Focused Fund,4970,15.75,14.86,139.0,19.12,6.73,18.08,-12.39,0.4755,2.7,0.889,-0.0344,0.0744,0.6392,0.5166,0.8528,0.9991,0.6839,0.0439,2.2224
M_MIMC,Mirae Asset Multicap Fund,56,53.54,Multi Cap Fund,1092,15.73,,12.0,8.71,6.44,7.59,-13.01,1.048,2.71,0.9499,0.1315,0.0534,0.535,0.8662,0.3333,0.9947,0.7143,0.1857,2.1586
M_FRON,Franklin India Focused Equity Fund,57,53.19,Focused Fund,4977,10.33,12.0,140.0,18.69,7.95,18.06,-13.42,0.5838,0.91,0.9437,-0.0191,0.0757,0.5975,0.2951,0.8537,0.9885,0.7949,0.1745,2.1839
M_HDCEQ,HDFC Flexi Cap Fund,58,52.75,Flexi Cap Fund,4977,17.69,19.02,140.0,18.19,6.94,17.53,-12.99,0.6135,4.33,0.9743,-0.0008,0.0804,0.5566,0.4725,0.8537,0.93,0.7436,0.3288,2.1186
M_TRMM,TRUSTMF Flexi Cap Fund,59,52.08,Flexi Cap Fund,847,,,4.0,4.09,2.62,6.0,-12.01,0.8854,4.93,0.8209,0.0603,0.068,0.285,,0.1429,0.999,0.6,0.3177,1.8091
M_PRPW,Sundaram Multi Cap Fund,60,51.58,Multi Cap Fund,4977,15.19,14.09,140.0,17.8,5.59,17.08,-13.46,0.8105,2.13,0.9929,0.017,0.078,0.5459,0.4355,0.8537,0.9971,0.7885,0.4957,2.0941
M_BARX,Baroda BNP Paribas Flexi Cap Fund,61,51.3,Flexi Cap Fund,1463,14.86,14.48,24.0,14.42,4.87,10.12,-13.72,0.6638,1.06,0.9014,-0.0095,0.0594,0.5152,0.7346,0.5,0.9988,0.8,0.1624,2.2158
M_FRANU,Franklin India Multi Cap Fund,62,50.88,Multi Cap Fund,749,,,1.0,7.73,7.73,10.12,-13.8,1.2747,4.22,0.9191,0.1204,0.065,0.0545,,0.04,0.995,,0.318,1.4115
M_UTFFO,UTI Focused Fund,63,50.68,Focused Fund,1820,12.59,11.09,36.0,16.22,9.53,15.51,-10.94,0.1621,1.12,0.871,-0.0324,0.0732,0.3504,0.6572,0.6,0.9975,0.75,0.0018,1.8797
M_TAQY,Tata Value Fund,64,50.58,Value Fund,4977,14.96,14.88,140.0,18.84,6.68,18.01,-12.58,0.6268,2.3,0.9788,0.0029,0.0766,0.5688,0.4523,0.8537,0.9915,0.6795,0.4115,2.0998
M_SUNRX,Sundaram Flexi Cap Fund,65,49.42,Flexi Cap Fund,1442,11.32,,23.0,12.72,6.42,8.9,-11.89,-0.0141,1.57,0.8288,-0.0573,0.0493,0.4852,0.7255,0.4894,0.998,0.641,0.0132,2.2086
M_NIEV,Nippon India Value Fund,66,49.22,Value Fund,4977,16.36,15.53,140.0,18.88,6.06,18.41,-13.94,0.6145,2.31,1.0083,-0.0148,0.0824,0.5076,0.465,0.8537,0.9909,0.7821,0.5917,1.9883
M_NIPIX,Nippon India Flexi Cap Fund,67,49.05,Flexi Cap Fund,1834,12.54,12.54,36.0,17.0,8.62,16.83,-10.94,0.5521,0.76,0.9554,0.0423,0.0691,0.3844,0.641,0.6,0.9903,0.7115,0.101,1.8934
M_INMC,Invesco India Multicap Fund,68,48.48,Multi Cap Fund,4977,15.17,13.28,140.0,19.3,5.37,18.14,-14.2,0.716,0.98,0.9825,-0.0492,0.0877,0.5537,0.441,0.8537,0.9956,0.7949,0.6266,2.1087
M_JMVA,JM Value Fund,69,48.43,Value Fund,4977,14.19,16.4,140.0,19.77,6.36,19.23,-14.68,0.5252,2.01,1.034,0.0113,0.0981,0.5229,0.4068,0.8537,0.9992,0.7692,1.1218,1.9204
M_UNOF,Union Focused Fund,70,48.28,Focused Fund,2569,13.56,11.55,60.0,16.96,8.76,14.54,-10.95,0.2418,3.28,0.8769,-0.0106,0.0638,0.519,0.4439,0.7143,0.9996,0.4474,-0.0219,2.2409
M_TATY,Tata Focused Fund,71,47.65,Focused Fund,2450,12.04,11.71,56.0,17.97,9.21,14.47,-11.54,0.2802,1.03,0.9576,-0.0725,0.0807,0.4365,0.3588,0.7,0.9982,0.75,0.0169,1.9965
M_ITVA,ITI Value Fund,72,47.05,Value Fund,1890,15.48,14.36,38.0,20.49,7.98,20.85,-11.33,0.3451,0.03,0.9952,0.0249,0.0788,0.4777,0.691,0.6129,0.9996,0.7222,0.131,1.931
M_GRMT,Groww Multicap Fund,73,46.86,Multi Cap Fund,609,,,0.0,,,,,1.9927,10.64,0.8898,0.5391,0.0535,0.4165,,0.0,0.9991,,0.5946,1.8067
M_DSPUP,DSP Multicap Fund,74,46.18,Multi Cap Fund,931,10.52,,7.0,1.81,1.84,4.51,-12.59,0.6353,2.26,0.9796,0.0789,0.073,0.291,0.521,0.2258,0.997,0.5217,0.2039,1.7162
M_TAMC,Tata Flexi Cap Fund,75,45.32,Flexi Cap Fund,2905,11.91,10.75,71.0,17.23,10.62,17.1,-11.25,0.0322,1.6,0.8607,-0.0577,0.0631,0.4525,0.4231,0.7474,0.9963,0.4828,-0.1305,2.0834
M_FREE,Franklin India Flexi Cap Fund,76,45.3,Flexi Cap Fund,4977,13.61,13.96,140.0,17.75,6.56,17.12,-12.5,0.6302,2.01,0.9423,-0.046,0.0668,0.544,0.3823,0.8537,0.9805,0.6474,0.0547,2.1761
M_TRMI,TRUSTMF Multi Cap Fund,77,45.05,Multi Cap Fund,392,,,0.0,,,,,,14.55,,0.4566,0.0331,,,0.0,0.9993,,,
M_IDBO,LIC MF Value Fund,78,44.76,Value Fund,2919,19.17,15.43,72.0,18.39,8.88,19.47,-13.78,0.505,1.14,0.9406,-0.0646,0.078,0.4429,0.5916,0.75,0.9997,0.6023,0.203,2.0252
M_CAOQ,Canara Rob Flexi Cap Fund,79,44.7,Flexi Cap Fund,4977,13.78,11.41,140.0,15.85,8.11,15.26,-12.94,0.3819,2.97,0.9553,0.006,0.0666,0.4972,0.4678,0.8537,0.9864,0.6538,-0.0331,2.077
M_MAMG,Mahindra Manulife Value Fund,80,44.1,Value Fund,532,,,0.0,,,,,,7.32,,0.1579,0.027,,,0.0,0.9991,,,
