mfId,name,rank,score,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,volatility,sharpe,alpha,beta,info_ratio,bayes_shrunk_alpha,bayes_shrink_lambda,block_alpha_n,alpha_pos_frac_12m,alpha_beat_peer_frac_12m,rolling_12m_n,forward_alpha_24m,regime_capture_spread,bear_correction_excess,recovery_half_life,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_xirr_hit_bench,hybrid_xirr_hit_peer,hybrid_xirr_n,max_drawdown,ulcer_perf_index,gain_to_pain,tail_ratio,current_drawdown,vol_drag_adj_return,active_divergence,active_skill_signal,beta_stability,aum_capacity_mult,p1_score,p2_score,p3_score,p4_score,p5_score,confidence,aum,data_weeks
M_HDCEQ,HDFC Flexi Cap Fund,22,64.08,4943,Flexi Cap Fund,3.85,17.33,18.49,0.171,0.633,3.33,1.016,0.575,6.12,0.863,5.0,93.3,86.7,30.0,1.2,0.196,0.06,16.0,23.3,16.92,5.55,100.0,100.0,60.0,-37.43,1.343,0.43,1.138,-2.26,14.81,5.96,0.002,0.931,0.85,88.804,78.895,32.369,35.186,60.78,1.0,106495.63,707
M_INTT,Invesco India Contra Fund,23,64.08,4943,Contra Fund,-0.36,16.4,14.77,0.159,0.623,4.85,0.963,1.006,3.2,0.85,5.0,70.0,56.7,30.0,4.01,0.265,0.19,9.0,18.39,10.89,2.01,86.7,70.0,60.0,-33.01,1.437,0.495,0.983,-3.75,16.2,4.58,0.002,0.961,1.0,64.13,55.07,67.87,72.468,65.81,1.0,19995.66,707
M_QUTO,Quant Flexi Cap Fund,24,63.97,4936,Flexi Cap Fund,11.09,17.96,16.11,0.19,0.605,6.23,0.99,0.578,3.47,0.445,5.0,46.7,52.0,30.0,4.6,0.343,-0.25,10.0,19.0,9.2,7.38,81.7,71.7,60.0,-35.17,1.137,0.461,1.045,-0.92,17.34,10.67,0.007,0.922,1.0,67.696,44.063,72.448,70.155,68.575,1.0,7140.12,706
M_NIML,Nippon India Multi Cap Fund,25,63.85,4943,Multi Cap Fund,1.65,16.46,19.77,0.172,0.578,3.31,1.018,0.555,6.47,0.719,5.0,93.3,73.3,30.0,3.12,0.053,-7.99,20.0,25.83,15.85,4.99,100.0,95.0,60.0,-39.94,1.144,0.425,1.01,-0.3,14.79,6.19,0.002,0.939,0.953,87.022,75.33,32.433,53.248,55.885,1.0,54584.58,707
M_WOMI,WOC Multi Cap Fund,26,63.72,1030,Multi Cap Fund,7.85,,,0.145,0.093,7.79,0.978,1.773,7.6,0.817,2.0,100.0,79.2,24.0,5.06,0.377,-3.55,9.0,9.43,8.12,9.39,100.0,100.0,11.0,-16.43,0.274,0.638,0.974,0.0,18.31,4.33,0.003,0.915,1.0,58.152,92.224,76.907,63.049,71.195,0.88,3850.09,148
M_QUVN,Quant Value Fund,27,63.59,1688,Value Fund,17.69,24.42,,0.198,0.904,9.83,1.2,1.013,4.86,0.268,4.0,50.0,50.0,30.0,7.33,0.478,-11.01,14.0,19.97,7.42,11.83,77.1,68.6,35.0,-23.44,2.101,0.503,0.964,0.0,19.52,10.58,0.01,0.926,1.0,64.435,55.084,63.394,72.269,82.01,0.97,1952.19,242
M_SBFQ,SBI Focused Fund,28,63.46,4943,Focused Fund,12.19,16.08,13.75,0.14,0.686,4.06,0.775,0.341,4.11,0.782,5.0,100.0,80.0,30.0,3.38,0.189,2.35,13.0,15.67,11.43,12.24,50.0,28.3,60.0,-28.65,1.271,0.504,1.004,0.0,14.46,7.57,0.003,0.965,0.965,55.891,74.261,55.596,77.496,65.476,1.0,46623.39,707
M_CAFF,Canara Rob Focused Fund,29,63.31,1884,Focused Fund,0.52,14.01,13.87,0.133,0.563,3.38,0.902,0.624,3.23,0.897,5.0,90.0,73.1,30.0,3.53,0.243,7.27,6.0,18.35,12.37,3.31,95.2,54.8,42.0,-17.77,1.363,0.497,0.927,-4.49,14.32,4.44,0.001,0.932,1.0,67.174,64.211,72.025,49.774,49.892,1.0,2768.51,270
M_HDFSO,HDFC Focused Fund,30,62.64,4943,Focused Fund,2.88,17.53,19.73,0.168,0.657,2.54,0.977,0.36,7.05,0.75,5.0,90.0,90.0,30.0,0.39,0.194,3.24,20.0,25.1,18.98,4.97,100.0,100.0,60.0,-40.87,1.114,0.409,1.125,-2.72,13.83,6.63,0.002,0.92,0.996,88.587,77.028,29.882,48.639,49.19,1.0,27303.27,707
M_MADN,Mahindra Manulife Multi Cap Fund,31,62.39,3354,Multi Cap Fund,6.86,18.91,17.37,0.163,0.759,5.41,0.96,0.983,5.1,0.929,5.0,93.3,,30.0,4.36,0.274,-1.26,9.0,19.3,9.96,8.68,100.0,95.0,60.0,-30.57,1.811,0.51,0.984,0.0,16.37,5.25,0.003,0.977,1.0,83.022,0.0,73.426,86.631,79.519,1.0,6926.02,480
